"Table 4  -Full list of first forenames given, Scotland, 2007",,,,

Boys,,,Girls,
Name,Number,,Name,Number
Colin,21,,Bryoni,1
Coll,12,,Bryony,5
Colm,2,,Buse,1
Colt,1,,Bushra,1
Colton,1,,Caceylee,1
Colum,1,,Cacie,1
Colvin,1,,Cadance,1
Comghan,1,,Cadee-Alyssa,1
Conal,9,,Cadence,1
Conall,4,,Cadey,1
Conan,3,,Cadey-Lee,1
Conar,1,,Cadey-Leigh,3
Conghaile,1,,Cadhla,2
Conlan,4,,Cadie,1
Conley,1,,Cadi-Lee,1
Conli,1,,Cady,2
Conlin,1,,Caela,2
Conlly,1,,Caelainn,1
Conlon,2,,Caelan,1
Conlyn,1,,Caelinn,2
Connal,1,,Caelyn,2
Connall,1,,Caera,1
Connan,1,,Caiden,1
Connar,2,,Caidie,1
Connel,1,,Caidy,1
Connell,3,,Caidyn,1
Conner,15,,Caileen,1
Connolly,1,,Cailie,1
Connor,279,,Cailin,4
Connor-David,1,,Cailyn,4
Conor,44,,Cailyne,1
Conrad,3,,Caiolea,1
Cooper,25,,Caiomhe,1
Copeland,1,,Caisey,1
Coray,1,,Cait,2
Corben,1,,Caitaidh,1
Corbin,1,,Caite,1
Corey,56,,Caitlin,180
Corey-James,1,,Caitlinn,1
Corey-Jay,1,,Caitlyn,47
Cori,2,,Caitlynn,4
Corie,1,,Caitrìona,1
Corin,3,,Caity,1
Cormac,7,,Caity-Marie,1
Cormack,1,,Calah,1
Cormak,1,,Cale,1
Corran,1,,Caleigh,2
Corrie,1,,Caley,2
Cory,9,,Cali,4
Cosmo,2,,Calice,1
Coupar,1,,Calla,3
Craig,92,,Calleigh,4
Craig-James,2,,Calli,1
Crawford,4,,Callia,1
Creag,1,,Callie,19
Crispin,1,,Callie-Jayne,1
Cristian,1,,Cally,3
Crombie,1,,Calypso,2
Cruiz,1,,Cameron,15
Cruz,5,,Cameryn,1
Cuillin,1,,Camilla,1
Cullen,2,,Camille,3
Cullin,1,,Camillie,1
Curtis,5,,Camren,1
Cyrus,2,,Camryn,5
Daanyaal,1,,Candice,3
Daegan,1,,Caoilainn,1
Daegyu,1,,Caoilfhinn,1
Dafydd,1,,Caoilfinn,1
Dagon,1,,Caoimhe,13
Dailey,1,,Capree,1
Daimhin,1,,Capri,1
Daithi,2,,Cara,130
Dakota,1,,Caragh,9
Daksh,1,,Carah,1
Dale,15,,Caralee,1
Dalong,1,,Cara-Leigh,1
Dalton,3,,Cara-Louise,1
Damian,9,,Carey,2
Damien,11,,Cari,2
Damon,6,,Cari-ann,1
Dan,5,,Carina,4
Danar,1,,Caris,6
Dane,2,,Carisen,1
Danial,2,,Cariss,1
Daniel,391,,Carla,42
Daniele,1,,Carlee,2
Daniel-James,1,,Carley,3
Daniels,1,,Carli,2
Daniil,1,,Carlie,5
Danish,3,,Carlotta,3
Daniyal,2,,Carly,68
Danniel,1,,Carlynn,1
Danny,31,,Carmel,1
Dante,2,,Carmella,1
Danyal,4,,Carmen,22
Danyil,1,,Carmyle,1
Danys,1,,Carol,3
Daood,1,,Carolanne,2
Dara,2,,Caroline,7
Darach,2,,Carolyn,2
Daragh,2,,Carra,2
Darcy,1,,Carragh,1
D'arcy,1,,Carra-Leigh,1
Dareh,1,,Carri,1
Daren,1,,Carrie,19
Darien,1,,Carrie-Anne,1
Darius,1,,Carrie-Louise,1
Darl,1,,Carris,1
Darn,1,,Carron,1
Darrach,1,,Caryn,1
Darragh,7,,Carys,45
Darrel,2,,Caryss,1
Darrell,4,,Casey,66
Darren,44,,Casey-Jean,1
Darrie,1,,Caseyleigh,1
Darrius,1,,Casey-Leigh,4
Darroch,1,,Casie,2
Darryl,3,,Cassandra,1
Darryn,1,,Cassia,1
Darwyn,1,,Cassidy,2
Daryl,13,,Cassie,15
Daryn,2,,Cassieleigh,1
Daud,4,,Cassie-Louise,1
Daumantas,1,,Cassy,1
Davi,1,,Cate,6
David,234,,Catharine,1
David-Jay,1,,Catherine,42
David-Lee,2,,Catherine-Leigh,1
Davie,1,,Cathleen,1
Davis,2,,Cathryn,1
Davy,1,,Catlin,1
Dawid,9,,Catrin,2
Dawson,4,,Catriona,23
Dawud,2,,Catriona-May,1
Dawûd,1,,Cayce,1
Dayem,1,,Caydee,2
Daymian,1,,Caydee-Lea,1
Deacon,12,,Caydence,1
Deagan,1,,Cayla,2
Dean,54,,Caylin,1
Deano,2,,Caysey,2
Decklan,1,,Ceara,2
Declain,1,,Cecilia,3
Declan,89,,Cecily,2
Declyan,1,,Cedar,1
Declyn,2,,Cee-Jai,1
Dedeniseoluwa,1,,Cee-Jay,1
Deecan,1,,Ceilidh,3
Deegan,1,,Ceilidh-Dawn,1
Deelan,1,,Ceira,2
Deklain-Jaimes,1,,Ceitidh,1
Del,3,,Celeste,1
Demetrius,1,,Celia,2
Denis,8,,Celina,1
Deniss,1,,Celine,1
Dennan,1,,Celsea,1
Dennin,1,,Celsi,1
Dennis,3,,Ceol,1
Denny,2,,Ceren,1
Dennys,1,,Ceridwen,1
Denon,1,,Cerys,42
Denton,1,,Chaela,1
Denver,1,,Chahat,1
Denzel,2,,Chahinez,1
Deon,1,,Chala,1
Derek,9,,Chandanpreet,1
Derick,1,,Chanel,8
Derin,2,,Chanelle,13
Dermot,1,,Chantelle,27
Derren,5,,Chara,1
Derrie,1,,Chardonnay,1
Derrin,1,,Charis,4
Derron,2,,Charlay,1
Derry,6,,Charlee,1
Derryn,2,,Charleigh,6
Deryn,3,,Charlene,2
Deshawn,1,,Charley,56
Desmond,1,,Charley-Louise,1
Dev,1,,Charley-Rose,1
Devan,1,,Charli,17
Devin,4,,Charlie,37
Devlin,3,,Charlie-Anne,1
Devlyn,2,,Charlie-Kate,1
Devon,14,,Charli-Leigh,1
Devrin,1,,Charli-louise,1
Devyn,1,,Charlize,5
Dex,1,,Charlotte,155
Dexter,1,,Charlotte-Ann,1
Dhani,1,,Charlotte-May,1
Dharam,1,,Charlotte-Rose,1
Dhavid,1,,Charly,6
Dhyia,1,,Charmaine,1
Diarmaid,1,,Chase,1
Diarmid,1,,Chelsea,53
Diarmuid,2,,Chelsea-Lee,1
Didier,1,,Chelsea-Louise,1
Diego,1,,Chelsea-Marie,1
Diesel,2,,Chelsey,8
Diesil,1,,Chelsey-Lee,2
Digby,2,,Chelsi,1
Dilan,3,,Chelsie,6
Dilano,1,,Chelsy,5
Dillan,4,,Chen,1
Dillon,15,,Chenai,3
Dilraj,2,,Chenille,1
Dimitri,1,,Cherelle,1
Dinaras,1,,Cherise,1
Dion,1,,Cherith,1
Dissanayake,1,,Cherry,1
Dmitri,1,,Cheyanna,1
Doire,1,,Cheyanne,1
Dolan,1,,Cheyenne,3
Domanic,1,,Chi,2
Domenico,1,,Chiamaka,1
Domhnall,1,,Chiara,5
Dominic,34,,Chidera,1
Dominick,1,,Chidi,1
Dominik,11,,Chioma,2
Donald,16,,Chizaram,1
Donnacha,1,,Chloe,363
Donnie,4,,Chloe-Ann,1
Dorian,2,,Chloe-Anne,1
Dougal,6,,Chloe-Louise,2
Douglas,25,,Choco,1
Dougray,1,,Choire,1
Drakeo,1,,Chrislyn,1
Dre,1,,Chrissie,2
Dregan,1,,Christabel,1
Drew,17,,Christianna,1
Dugald,1,,Christie,7
Duncan,46,,Christin,1
Duriel,1,,Christina,16
Dustin,1,,Christine,4
Dylan,293,,Christy,3
Dylan-Jack,1,,Chrystal,1
Dylan-James,1,,Chymari,1
Dylan-John,2,,Ciara,40
Dylan-Patrick,1,,Cilla,1
Dylin,1,,Cindy,1
Dyllan,1,,Cirah,1
Dyllan-James,1,,Circe,1
Dyllon,2,,Clair,2
Eadie,1,,Claire,16
Eagann,1,,Clara,14
Eamon,5,,Clare,5
Eamonn,2,,Clarisse,1
Eason,1,,Clarizze,1
Eassan,1,,Claudia,14
Easton,2,,Clea,1
Ebow,1,,Clementine,2
Ed,1,,Cleo,4
Eddie,1,,Cleone,1
Eden,1,,Clio,1
Ediomi,1,,Cliodhna,1
Edison,1,,Clodagh,2
Eduardo,1,,Cloe,3
Eduards,1,,Clove,1
Edward,35,,Cobi,1
Edwin,1,,Coco,2
Edwyn,1,,Codi,3
Eesa,2,,Codie,9
Efan,1,,Cody,14
Efe,1,,Coleen,3
Ege,1,,Colette,2
Ehsan,1,,Colleen,3
Ehsen,1,,Collette,2
Eiddon,1,,Concetta,1
Eidhan,1,,Connie,24
Eihli,1,,Constance,9
Eimantas,1,,Cooper,1
Eisa,1,,Cora,5
Eli,4,,Corah,1
Elias,4,,Coral,8
Elijah,8,,Cora-Lee,1
Eliot,2,,Coralie,1
Elisau,1,,Coran,1
Eljay,1,,Corin,2
Eljon,1,,Corinn,1
Elliot,53,,Corinne,8
Elliott,12,,Corrie,4
Ellis,37,,Corrin,3
Ellisandro,1,,Corrina,2
Elshan,1,,Courteney,2
Elvin,1,,Courtney,70
Elyan,1,,Courtneylee,1
Emanuel,1,,Courtny,1
Emerson,1,,Coya,1
Emil,3,,Cra'Amie,1
Emile,1,,Cree,1
Emir,2,,Cristina,2
Emlyn,1,,Cruz,1
Emmanuel,2,,Crystal,5
Emmet,1,,Crystyn,1
Eng,1,,Cuba,1
Eniola,1,,Cully,2
Enis,1,,Cynthia,1
Ennis,1,,Cyra-Lee,1
Enrico,3,,Dacey-Raine,1
Enrique,1,,Dacia,1
Enzo,1,,Daigan,1
Eoghain,1,,Daisy,90
Eoghan,3,,Daisy-Mae,1
